tmdb_id,tipo,título,público,score,votos,fecha,géneros,sinopsis,popularidad,idioma_original,imagen_url
1396,serie,Breaking Bad,TV-MA,8.939,17399,2008-01-20,"['Drama', 'Crimen']",Un profesor de Química de secundaria con cáncer terminal se asocia a un exestudiante para asegurar el futuro de su familia al fabricar y vender metanfetamina.,159.9977,en,https://image.tmdb.org/t/p/w500/ztkUQFLlC19CCMYHW9o1zWhJRNq.jpg
246,serie,Avatar: La leyenda de Aang,TV-Y7,8.757,4739,2005-02-21,"['Animación', 'Action & Adventure', 'Sci-Fi & Fantasy']","El mundo está dividido en cuatro naciones, correspondientes a los cuatro elementos: La Tribu del Agua, El Reino de la Tierra, la Nación del Fuego y los Nómadas del Aire. En cada nación hay una notable orden llamada de los ""Maestros"" que aprenden a potenciar su talento nato y manipular su elemento nativo, combinando artes marciales y magia elemental. En cada generación, sólo un Maestro es capaz de controlar los cuatro elementos, y recibe el nombre de Avatar, el espíritu del mundo manifestado en forma humana, capaz de mantener la armonía de las cuatro naciones.",38.3316,en,https://image.tmdb.org/t/p/w500/ucNtkZfpZ6KgxqPo039nN4LAyFR.jpg
94605,serie,Arcane,TV-14,8.753,5772,2021-11-06,"['Animación', 'Action & Adventure']","Mientras la discordia separa las ciudades gemelas de Piltóver y Zaun, dos hermanas se enfrentan en una guerra feroz entre tecnologías mágicas y convicciones opuestas.",50.2418,en,https://image.tmdb.org/t/p/w500/i1vSPUbiBe2iK2HapGDfHItBFlC.jpg
278,película,Sueño de fuga,B,8.717,29995,1994-09-23,"['Drama', 'Crimen']","Andy Dufresne es un banquero injustamente encarcelado en la prisión de Shawshank por el asesinato de su esposa y su amante. Dentro de prisión, Andy entabla una amistad con Red, un prisionero con habilidades para conseguir cosas. Estos dos hombres encarcelados se unirán durante años, encontrando consuelo y eventual redención a través de actos de decencia común.",50.7884,en,https://image.tmdb.org/t/p/w500/l6V3TEoJlGh3ztAFxK2hemHfDJ2.jpg
60059,serie,Better Call Saul,TV-MA,8.704,6306,2015-02-08,"['Crimen', 'Drama']","La acción se ubica en el año 2002 en torno al abogado James Morgan ""Jimmy"" McGill, seis años antes de su aparición en Breaking Bad como Saul Goodman. A pesar de ser una precuela también se muestra brevemente cual fue el destino de Saul tras los hechos de la serie original.",107.3543,en,https://image.tmdb.org/t/p/w500/zjg4jpK1Wp2kiRvtt5ND0kznako.jpg
87108,serie,Chernobyl,TV-MA,8.704,7675,2019-05-06,['Drama'],"Sigue ""la verdadera historia"" de una de las peores catástrofes provocadas por el hombre y habla de los valientes hombres y mujeres que se sacrificaron para salvar a Europa de un desastre inimaginable. La miniserie se centra en el desgarrador alcance del desastre de la planta nuclear que ocurrió en Ucrania en abril de 1986, revelando cómo y por qué ocurrió, además contando las sorprendentes y notables historias de los héroes que lucharon y cayeron.",52.6785,en,https://image.tmdb.org/t/p/w500/hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg
92685,serie,La Casa Búho,TV-Y7,8.7,1762,2020-01-10,"['Animación', 'Action & Adventure', 'Comedia', 'Sci-Fi & Fantasy', 'Familia']","Luz, una adolescente humana muy segura de sí misma, se topa accidentalmente con un portal que la lleva a un mágico y nuevo mundo, en el cual se hace amiga de la bruja rebelde Eda y de King, un adorable guerrero en miniatura. A pesar de no tener habilidades mágicas, Luz va tras su sueño de convertirse en bruja.",37.4313,en,https://image.tmdb.org/t/p/w500/lE5OYF0axjCVtrxLMetA8i8QpZ8.jpg
250307,serie,The Pitt,TV-MA,8.69,580,2025-01-09,['Drama'],El personal del Centro Médico de Traumatismo de Pittsburgh trabaja para salvar vidas en un servicio de urgencias saturado y sin fondos suficientes.,116.6831,en,https://image.tmdb.org/t/p/w500/kvFSpESyBZMjaeOJDx7RS3P1jey.jpg
238,película,El Padrino,C,8.686,22661,1972-03-14,"['Drama', 'Crimen']","Don Vito Corleone es el respetado y temido jefe de una de las cinco familias de la mafia de Nueva York. Tiene cuatro hijos: una chica, Connie, y tres varones: el impulsivo Sonny, el pusilánime Freddie y Michael, que no quiere saber nada de los negocios de su padre. Cuando Corleone, siempre aconsejado por su consejero Tom Hagen, se niega a intervenir en el negocio de las drogas, el jefe de otra banda ordena su asesinato. Empieza entonces una violenta y cruenta guerra entre las familias mafiosas.",41.8091,en,https://image.tmdb.org/t/p/w500/tUeZeWzbw37sOIpDsuK8qq8Unor.jpg
85077,serie,Los elegidos,TV-PG,8.681,789,2019-04-21,"['Drama', 'Familia', 'Action & Adventure']","Narra la vida de Jesucristo y los apóstoles. Ambientada en Judea y Galilea en el siglo I, la serie retrata la vida de Jesús de Nazareth a través de las personas que interactuaron con él, incluidos los apóstoles y discípulos de Jesús, los líderes religiosos judíos, los gobernantes romanos y los oficiales militares, así como la gente común.",184.4023,en,https://image.tmdb.org/t/p/w500/sADRlqLn9na8p7S1mLWMOU04uit.jpg
